,Company,Location,Global Company Size,Industry,Salaries,Jobs,Rating,Reviews
18,Cisco Systems,25 office locations,10000+ Employees,Enterprise Software & Network Solutions,2.8TSalaries,1.4TJobs,4.4★,29.4TReviews
19,Dell Technologies,25 office locations,10000+ Employees,Information Technology Support Services,2.9TSalaries,1.6TJobs,4.3★,30TReviews
20,Wells Fargo,25 office locations,10000+ Employees,Banking & Lending,1.4TSalaries,11.5TJobs,3.7★,42.6TReviews
21,BYJU'S,25 office locations,10000+ Employees,Primary & Secondary Schools,2.7TSalaries,7Jobs,3.5★,14.8TReviews
22,DXC Technology,26 office locations,10000+ Employees,Information Technology Support Services,2.3TSalaries,1.7TJobs,3.6★,21.3TReviews
23,Genpact,64 office locations,10000+ Employees,Information Technology Support Services,5.7TSalaries,8.8TJobs,4.0★,17.5TReviews
24,LTI,27 office locations,10000+ Employees,Information Technology Support Services,4.9TSalaries,1.9TJobs,3.8★,11.4TReviews
25,J.P. Morgan,25 office locations,10000+ Employees,Investment & Asset Management,4.1TSalaries,9Jobs,4.1★,22.6TReviews
26,SAP,28 office locations,10000+ Employees,Enterprise Software & Network Solutions,1.7TSalaries,1.6TJobs,4.4★,26TReviews
27,Qualcomm,34 office locations,10000+ Employees,Computer Hardware Development,1.6TSalaries,4Jobs,4.1★,9.1TReviews
28,Concentrix,30 office locations,10000+ Employees,Information Technology Support Services,1.8TSalaries,2.7TJobs,4.1★,23.4TReviews
29,Citi,26 office locations,10000+ Employees,Investment & Asset Management,1.7TSalaries,14.6TJobs,3.9★,28.6TReviews
30,Intel Corporation,32 office locations,10000+ Employees,Computer Hardware Development,1TSalaries,357Jobs,4.3★,25.9TReviews
31,HSBC,8 office locations,10000+ Employees,Banking & Lending,2.4TSalaries,2.8TJobs,3.8★,24.6TReviews
32,Walmart,4 office locations,1001 to 5000 Employees,General Merchandise & Superstores,535Salaries,11.5TJobs,3.3★,1.1LReviews
33,Bank of America,25 office locations,10000+ Employees,Banking & Lending,1.2TSalaries,6.2TJobs,4.0★,35.9TReviews
34,ABC,7 office locations,10000+ Employees,Broadcast Media,5TSalaries,25Jobs,3.9★,12.8TReviews
35,Mindtree,31 office locations,10000+ Employees,Information Technology Support Services,4.3TSalaries,2.5TJobs,4.0★,10.3TReviews
36,Target,5 office locations,1001 to 5000 Employees,General Merchandise & Superstores,545Salaries,13.9TJobs,4.4★,69.2TReviews
37,Goldman Sachs,25 office locations,10000+ Employees,Investment & Asset Management,2.5TSalaries,1.1TJobs,4.0★,15TReviews
38,Honeywell,25 office locations,10000+ Employees,Computer Hardware Development,1.6TSalaries,3.8TJobs,4.0★,18TReviews
39,CGI,46 office locations,10000+ Employees,Business Consulting,2.7TSalaries,5TJobs,3.9★,14.5TReviews
40,Ericsson-Worldwide,26 office locations,10000+ Employees,Telecommunications Services,1.5TSalaries,2TJobs,4.2★,16.8TReviews
41,Barclays,27 office locations,10000+ Employees,Banking & Lending,1.5TSalaries,3.8TJobs,4.0★,16.2TReviews
42,Siemens,36 office locations,10000+ Employees,Electronics Manufacturing,1.7TSalaries,14.3TJobs,4.1★,18.5TReviews
43,ICICI Bank,25 office locations,10000+ Employees,Banking & Lending,2.6TSalaries,12Jobs,3.7★,10.5TReviews
44,Verizon,23 office locations,10000+ Employees,Telecommunications Services,921Salaries,8.6TJobs,3.9★,30.4TReviews
45,Mphasis,33 office locations,10000+ Employees,Information Technology Support Services,2.7TSalaries,43Jobs,3.7★,7.8TReviews
46,ADP,18 office locations,10000+ Employees,Enterprise Software & Network Solutions,901Salaries,1.9TJobs,4.0★,17.1TReviews
47,Nokia,29 office locations,10000+ Employees,Telecommunications Services,1.1TSalaries,2.1TJobs,4.1★,16.4TReviews
48,Hewlett Packard Enterprise | HPE,25 office locations,10000+ Employees,Information Technology Support Services,957Salaries,1.7TJobs,4.3★,15.8TReviews
49,NTT DATA,57 office locations,10000+ Employees,Information Technology Support Services,1.6TSalaries,7.4TJobs,3.9★,11.5TReviews
