,Company,Sector,Headquater,Types,Rating,Reviews
38,Mother Dairy Fru...,None,"Noida,Uttar Pradesh + 95 more",FMCG,4.2,1k Reviews
39,Flipkart,Public,"Bangalore,Karnataka + 435 more",Internet,4.2,11.5k Reviews
40,V2 Retail,Public,"Delhi/NCR,Delhi + 71 more",Retail,3.6,1k Reviews
41,Team Computers,None,"Delhi/NCR,Delhi + 64 more",IT Services & Consulting,3.7,832 Reviews
42,Air India Sats A...,None,"Mumbai,Maharashtra + 20 more",Airlines / Aviation / Aerospace,3.9,544 Reviews
43,Oberoi Group of ...,None,"Delhi/NCR,Delhi + 31 more",Travel & Tourism / Hospitality,4.3,1.2k Reviews
44,Hero FinCorp,None,Delhi + 226 more,Financial Services,4.3,926 Reviews
45,Radisson Hotels,None,"Minnetonka,Minnesota + 89 more",Travel & Tourism / Hospitality,3.9,1.7k Reviews
46,Simplex Infrastr...,Public,"Kolkata,West Bengal + 124 more",Metals & Mining,3.7,2.3k Reviews
47,IndiGo,None,"Boston,Massachusetts + 71 more",Airlines / Aviation / Aerospace,3.5,1.7k Reviews
48,Bikanervala,None,"Delhi/NCR,New Delhi + 39 more",FMCG,4.0,422 Reviews
49,Vfs Global Servi...,None,"Mumbai,Maharashtra + 22 more",BPO/KPO,3.8,852 Reviews
50,Tata Power Delhi...,None,"New Delhi,Delhi + 29 more",Power,4.1,379 Reviews
51,HDFC Life,Public,"Mumbai,Maharashtra + 405 more",Financial Services,4.1,5.6k Reviews
52,Sony,Public,"Delhi/NCR,Delhi + 115 more",Manufacturing,4.3,1.1k Reviews
53,Dominos Pizza,Public,"Ypsilanti,Michigan + 208 more",FMCG,4.1,2.4k Reviews
54,Dr Lal PathLabs,Public,"Gurgaon/Gurugram,Haryana + 122 more",Healthcare,4.2,1.1k Reviews
55,Blue Dart Expres...,Public,"Mumbai,Maharashtra + 191 more",Logistics / Shipping,4.2,1.7k Reviews
56,Asian Paints,Public,"Mumbai,Maharashtra + 341 more",Chemicals / Agri Inputs,4.2,4.8k Reviews
57,café Coffee day,None,"Bengaluru,Karnataka + 81 more",Beverage,4.1,1.3k Reviews
58,L&T Construction,Public,Chennai + 264 more,Engineering & Construction,4.2,3.6k Reviews
59,BLK Super Specia...,None,"Delhi/NCR,New Delhi + 3 more",Healthcare,4.1,272 Reviews
60,Silaris Informat...,None,"Delhi/NCR,Delhi + 15 more",Consulting,3.3,381 Reviews
61,Gannon Dunkerley,None,"Mumbai,Maharashtra + 55 more",Engineering & Construction,3.9,832 Reviews
62,Fabindia,None,"Delhi/NCR,Delhi + 71 more",Retail,4.1,857 Reviews
63,DTDC Express,None,"Bangalore/Bengaluru,Karnataka + 188 more",Logistics / Shipping,3.9,2k Reviews
64,Quess,Public,Bangalore + 333 more,BPO/KPO,3.9,9k Reviews
65,Muthoot Group,Public,"Wedel,Schleswig-holstein + 329 more",Internet,3.6,4.7k Reviews
66,Omaxe,Public,"Delhi/NCR,New Delhi + 20 more",Real Estate,4.0,453 Reviews
67,Bajaj Finserv,Public,"Pune,Maharashtra + 656 more",FinTech,4.0,5.3k Reviews
68,Oyo Rooms,None,"Gurgaon,Haryana + 103 more",Internet,3.5,3.2k Reviews
69,Tradeindia.com,None,"Noida,Uttar Pradesh + 34 more",Internet,3.4,541 Reviews
70,Engineers India,Public,"Delhi/NCR,New Delhi + 45 more",Internet,4.3,442 Reviews
71,SunTec Web Servi...,None,New Delhi + 2 more,BPO/KPO,3.5,245 Reviews
72,Max Bupa Health ...,None,"Delhi/NCR,New Delhi + 116 more",Financial Services,3.8,770 Reviews
73,Tata Communicati...,Public,"Mumbai,Maharashtra + 88 more",Telecom,4.1,3.2k Reviews
74,ICICI Lombard Ge...,Public,"Mumbai,Maharashtra + 201 more",Financial Services,3.9,2.4k Reviews
75,Bses Yamuna Powe...,None,20 years old,Power,3.7,203 Reviews
76,Jet Airways,Public,"Mumbai,Maharashtra + 46 more",Airlines / Aviation / Aerospace,4.6,1.1k Reviews
77,BYJU'S,None,"Bangalore,Karnataka + 195 more",Internet,3.5,11.8k Reviews
